County,Population,Murder,Rape ^,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,2018 Total Index,% Index Change 17/18*,"Index Rate Per 100,000",Rate Change 17/18*
Alachua,263291,14,285,337,1175,1144,6170,633,9758,7.9,3706.2,6.6
Baker,27652,2,5,7,81,49,215,24,383,-9.2,1385.1,-10.8
Bay,181199,7,72,98,583,1173,4301,500,6734,-12.1,3716.4,-13.2
Bradford,28475,1,6,10,79,97,255,38,486,-0.4,1706.8,-3.3
Brevard,583563,29,216,336,1633,2262,9612,880,14968,-11.8,2564.9,-13
Broward,1897976,96,628,2083,4264,6274,39804,5509,58658,-9.7,3090.6,-10.8
Calhoun,15093,2,0,1,28,33,70,8,142,4.4,940.8,3.8
Charlotte,177987,2,32,19,308,255,1724,114,2454,-8.3,1378.8,-11
Citrus,145721,2,19,42,282,369,1505,230,2449,0.5,1680.6,-0.8
Clay,212034,3,103,103,429,654,2578,243,4113,7.7,1939.8,5.9
Collier,367347,9,109,141,654,535,3449,244,5141,-4.6,1399.5,-7.1
Columbia,69721,5,32,33,265,489,1166,117,2107,-8.9,3022,-9.9
Miami-Dade,2779322,198,916,3653,8965,9178,69295,8336,100541,-6.2,3617.5,-7.4
Desoto,35520,0,8,21,113,273,410,54,879,-9.4,2474.7,-9.1
Dixie,16489,1,8,1,65,112,71,20,278,-24.9,1686,-23.8
Duval,952861,112,561,1368,3570,5128,23732,3150,37621,-5.1,3948.2,-6.7
Escambia,318560,12,224,293,1181,1769,7203,679,11361,-4.7,3566.4,-6.2
Flagler,107571,3,29,12,197,203,1145,73,1662,-20.2,1545,-21.9
Franklin,12009,1,3,1,52,48,182,1,288,56.5,2398.2,58.5
Gadsden,47828,4,21,21,165,233,343,63,850,-13.8,1777.2,-13
Gilchrist,17424,2,4,2,20,63,69,7,167,75.8,958.4,73.8
Glades,13002,0,2,1,23,33,84,9,152,-27.3,1169.1,-26.8
Gulf,16499,0,2,0,43,50,85,8,188,-32.1,1139.5,-33
Hamilton,14621,1,3,7,39,75,202,20,347,-14.7,2373.3,-14.5
Hardee,27296,1,8,7,51,168,313,48,596,9.8,2183.5,10.3
Hendry,39586,2,13,33,142,267,540,41,1038,-11.3,2622.1,-12.5
Hernando,185604,6,77,50,335,490,2170,203,3331,-11.4,1794.7,-13.2
Highlands,102525,2,44,39,229,568,1736,90,2708,-9.6,2641.3,-9.9
Hillsborough,1408864,62,374,673,2712,3191,16385,1827,25224,-6.6,1790.4,-8.6
Holmes,20133,0,3,0,52,67,113,12,247,-30.6,1226.8,-30.4
Indian River,151825,12,38,51,228,395,1884,119,2727,-18.4,1796.1,-19.9
Jackson,50435,4,28,9,139,211,624,83,1098,-7.4,2177.1,-7.5
Jefferson,14733,2,4,5,74,120,129,21,355,18.3,2409.6,17.4
Lafayette,8501,0,0,0,22,17,19,3,61,-12.9,717.6,-13.1
Lake,342917,12,146,147,714,1434,4831,505,7789,-4.1,2271.4,-7.2
Lee,713903,40,276,454,1356,1802,7938,1063,12929,-4.7,1811,-6.7
Leon,292332,20,251,351,1167,1793,8518,926,13026,-5.8,4455.9,-7.2
Levy,41054,1,24,8,463,380,424,86,1386,4.4,3376,4.3
Liberty,8915,0,3,0,6,13,28,6,56,-30.9,628.2,-32.4
Madison,19473,0,13,3,122,76,113,3,330,-45.3,1694.7,-45.5
Manatee,382388,19,169,285,1331,1129,5710,474,9117,4.7,2384.2,2.2
